产业链,上中下游,层级,节点,股票代码,公司名称,最新报告期,毛利率%,净利率%,ROE_%,ROE加权%
新能源汽车产业链,上游,5级,碳酸锂,002460,赣锋锂业,2026-03-31,29.72,20.9,4.02,3.95
新能源汽车产业链,上游,5级,图像传感器芯片,603501,韦尔股份,2026-03-31,29.38,7.7,1.56,1.52
新能源汽车产业链,上游,5级,动力型锂离子电池,300750,宁德时代,2026-03-31,24.82,17.61,5.98,5.8
新能源汽车产业链,上游,3级,IGBT功率模块,603290,斯达半导,2026-03-31,21.08,3.09,0.38,0.38
新能源汽车产业链,上游,4级,传感器芯片,603290,斯达半导,2026-03-31,21.08,3.09,0.38,0.38
新能源汽车产业链,上游,5级,电机驱动芯片,603290,斯达半导,2026-03-31,21.08,3.09,0.38,0.38
新能源汽车产业链,上游,5级,制动防抱死系统,002284,亚太股份,2026-03-31,20.41,10.48,4.14,4.05
新能源汽车产业链,上游,5级,动力型锂离子电池,002594,比亚迪,2026-03-31,18.81,2.67,1.65,1.63
新能源汽车产业链,上游,5级,汽车电子稳定控制系统,002920,德赛西威,2026-03-31,18.6,7.2,2.95,3.04
新能源汽车产业链,上游,5级,高级驾驶辅助系统（ADAS),002920,德赛西威,2026-03-31,18.6,7.2,2.95,3.04
新能源汽车产业链,上游,4级,燃料电池,688339,亿华通,2026-03-31,-35.96,-363.79,-2.61,-2.65
新能源汽车产业链,上游,5级,膜电极,688339,亿华通,2026-03-31,-35.96,-363.79,-2.61,-2.65
新能源汽车产业链,上游,5级,质子交换膜,688339,亿华通,2026-03-31,-35.96,-363.79,-2.61,-2.65
新能源汽车产业链,下游,4级,充电桩,300741,华宝新能,2026-03-31,46.46,13.18,0.65,0.65
新能源汽车产业链,下游,4级,充电桩,002487,益通集团,2026-03-31,39.19,22.79,5.12,4.99
新能源汽车产业链,中游,1级,新能源汽车制造,002594,比亚迪,2026-03-31,18.81,2.67,1.65,1.63
新能源汽车产业链,中游,1级,新能源汽车制造,601238,广汽集团,2026-03-31,-0.89,-5.84,-0.63,-0.63
