报告日期,指数值,PMI分项
2019年03月份,-1.94174757,制造业-同比增长
2019年02月份,-2.18687873,制造业-同比增长
2019年01月份,-3.50877193,制造业-同比增长
2018年12月份,-4.26356589,制造业-同比增长
2018年11月份,-3.47490347,制造业-同比增长
2018年10月份,-2.71317829,制造业-同比增长
2018年09月份,-3.05343511,制造业-同比增长
2018年08月份,-0.77369439,制造业-同比增长
2018年07月份,-0.38910506,制造业-同比增长
2018年06月份,-0.3868472,制造业-同比增长
2018年05月份,1.3671875,制造业-同比增长
2018年04月份,0.390625,制造业-同比增长
2018年03月份,-0.57915058,制造业-同比增长
2018年02月份,-2.51937984,制造业-同比增长
2018年01月份,0.0,制造业-同比增长
2017年12月份,0.38910506,制造业-同比增长
2017年11月份,0.1934236,制造业-同比增长
2017年10月份,0.78125,制造业-同比增长
2017年09月份,3.96825397,制造业-同比增长
2017年08月份,2.57936508,制造业-同比增长
2017年07月份,3.00601202,制造业-同比增长
2017年06月份,3.4,制造业-同比增长
2017年05月份,2.19560878,制造业-同比增长
2017年04月份,2.19560878,制造业-同比增长
2017年03月份,3.187251,制造业-同比增长
2017年02月份,5.30612245,制造业-同比增长
2017年01月份,3.84615385,制造业-同比增长
2016年12月份,3.42052314,制造业-同比增长
2016年11月份,4.23387097,制造业-同比增长
2016年10月份,2.81124498,制造业-同比增长
2016年09月份,1.20481928,制造业-同比增长
2016年08月份,1.4084507,制造业-同比增长
2016年07月份,-0.2,制造业-同比增长
2016年06月份,-0.39840637,制造业-同比增长
2016年05月份,-0.19920319,制造业-同比增长
2016年04月份,0.0,制造业-同比增长
2016年03月份,0.1996008,制造业-同比增长
2016年02月份,-1.80360721,制造业-同比增长
2016年01月份,-0.80321285,制造业-同比增长
2015年12月份,-0.79840319,制造业-同比增长
2015年11月份,-1.3916501,制造业-同比增长
2015年10月份,-1.96850394,制造业-同比增长
2015年09月份,-2.54403131,制造业-同比增长
2015年08月份,-2.73972603,制造业-同比增长
2015年07月份,-3.28820116,制造业-同比增长
2015年06月份,-1.56862745,制造业-同比增长
2015年05月份,-1.18110236,制造业-同比增长
2015年04月份,-0.5952381,制造业-同比增长
2015年03月份,-0.39761431,制造业-同比增长
2015年02月份,-0.59760956,制造业-同比增长
2015年01月份,-1.38613861,制造业-同比增长
2014年12月份,-1.76470588,制造业-同比增长
2014年11月份,-2.14007782,制造业-同比增长
2014年10月份,-1.16731518,制造业-同比增长
2014年09月份,0.0,制造业-同比增长
2014年08月份,0.19607843,制造业-同比增长
2014年07月份,2.7833002,制造业-同比增长
2014年06月份,1.79640719,制造业-同比增长
2014年05月份,0.0,制造业-同比增长
2014年04月份,-0.39525692,制造业-同比增长
2014年03月份,-1.17878193,制造业-同比增长
2014年02月份,0.1996008,制造业-同比增长
2014年01月份,0.1984127,制造业-同比增长
2013年12月份,0.79051383,制造业-同比增长
2013年11月份,1.58102767,制造业-同比增长
2013年10月份,2.39043825,制造业-同比增长
2013年09月份,2.61044177,制造业-同比增长
2013年08月份,3.65853659,制造业-同比增长
2013年07月份,0.3992016,制造业-同比增长
2013年06月份,-0.19920319,制造业-同比增长
2013年05月份,0.79365079,制造业-同比增长
2013年04月份,-5.06566604,制造业-同比增长
2013年03月份,-4.14312618,制造业-同比增长
2013年02月份,-1.76470588,制造业-同比增长
2013年01月份,-0.1980198,制造业-同比增长
2012年12月份,0.59642147,制造业-同比增长
2012年11月份,3.26530612,制造业-同比增长
2012年10月份,-0.3968254,制造业-同比增长
2012年09月份,-2.734375,制造业-同比增长
2012年08月份,-3.33988212,制造业-同比增长
2012年07月份,-1.18343195,制造业-同比增长
2012年06月份,-1.37524558,制造业-同比增长
2012年05月份,-3.07692308,制造业-同比增长
2012年04月份,0.75614367,制造业-同比增长
2012年03月份,-0.56179775,制造业-同比增长
2012年02月份,-2.29885057,制造业-同比增长
2012年01月份,-4.536862,制造业-同比增长
2011年12月份,-6.67903525,制造业-同比增长
2011年11月份,-11.23188406,制造业-同比增长
2011年10月份,-7.86106033,制造业-同比增长
2011年09月份,-4.83271375,制造业-同比增长
2011年08月份,-1.54738878,制造业-同比增长
2011年07月份,-0.9765625,制造业-同比增长
2011年06月份,-2.30326296,制造业-同比增长
2011年05月份,-3.52504638,制造业-同比增长
2011年04月份,-5.02692998,制造业-同比增长
2011年03月份,-3.08529946,制造业-同比增长
2011年02月份,0.38461538,制造业-同比增长
2011年01月份,-5.19713262,制造业-同比增长
2010年12月份,-4.77031802,制造业-同比增长
2010年11月份,0.0,制造业-同比增长
2010年10月份,-0.9057971,制造业-同比增长
2010年09月份,-0.92081031,制造业-同比增长
2010年08月份,-4.25925926,制造业-同比增长
2010年07月份,-3.93996248,制造业-同比增长
2010年06月份,-2.06766917,制造业-同比增长
2010年05月份,1.50659134,制造业-同比增长
2010年04月份,4.11214953,制造业-同比增长
2010年03月份,5.15267176,制造业-同比增长
2010年02月份,6.12244898,制造业-同比增长
2010年01月份,23.17880795,制造业-同比增长
2009年12月份,37.37864078,制造业-同比增长
2009年11月份,42.26804124,制造业-同比增长
2009年10月份,23.76681614,制造业-同比增长
2009年09月份,6.0546875,制造业-同比增长
2009年08月份,11.57024793,制造业-同比增长
2009年07月份,10.12396694,制造业-同比增长
2009年06月份,2.30769231,制造业-同比增长
2009年05月份,-0.37523452,制造业-同比增长
2009年04月份,-9.62837838,制造业-同比增长
2009年03月份,-10.2739726,制造业-同比增长
2009年02月份,-8.23970037,制造业-同比增长
2009年01月份,-14.52830189,制造业-同比增长
2008年12月份,-25.49728752,制造业-同比增长
2008年11月份,-29.96389892,制造业-同比增长
2008年10月份,-16.16541353,制造业-同比增长
2008年09月份,-8.73440285,制造业-同比增长
2008年08月份,-10.37037037,制造业-同比增长
2008年07月份,-9.19324578,制造业-同比增长
2008年06月份,-4.58715596,制造业-同比增长
2008年05月份,-4.30879713,制造业-同比增长
2008年04月份,1.02389078,制造业-同比增长
2008年03月份,4.09982175,制造业-同比增长
2008年02月份,0.56497175,制造业-同比增长
2008年01月份,-3.81125227,制造业-同比增长
2026年06月份,50.2,非制造业-指数
2026年05月份,50.1,非制造业-指数
2026年04月份,49.4,非制造业-指数
2026年03月份,50.1,非制造业-指数
2026年02月份,49.5,非制造业-指数
2026年01月份,49.4,非制造业-指数
2025年12月份,50.2,非制造业-指数
2025年11月份,49.5,非制造业-指数
2025年10月份,50.1,非制造业-指数
